epoch,time,state
1,1382479008.96,396
1,1382479011.98,418
2,1382479021.99,407
2,1382479026.01,474
3,1382479038.03,439
4,1382479038.03,423
4,1382479054.08,470
5,1382479054.53,446
5,1382479066.95,472
5,1382479073.58,459
6,1382479073.58,452
6,1382479082.43,455
6,1382479086.43,421
7,1382479086.98,418
7,1382479091.24,410
7,1382479099.27,411
8,1382479099.27,433
8,1382479112.68,418
9,1382479115.32,425
9,1382479118.29,457
9,1382479127.92,441
9,1382479132.8,426
10,1382479136.81,415
10,1382479144.92,439
10,1382479144.92,440
11,1382479163.97,440
11,1382479163.97,440
12,1382479172.12,440
13,1382479176.14,440
13,1382479188.18,440
14,1382479192.2,440
14,1382479204.23,426
14,1382479204.23,433
15,1382479220.27,442
16,1382479220.28,437
16,1382479232.33,437
16,1382479236.34,425
17,1382479248.38,422
17,1382479248.38,429
18,1382479264.43,423
19,1382479264.43,426
19,1382479280.49,435
19,1382479280.49,430
20,1382479296.54,427
20,1382479296.54,428
21,1382479308.59,423
21,1382479308.59,425
22,1382479325.7,422
22,1382479325.7,423
23,1382479337.71,423
23,1382479341.72,421
24,1382479354.65,422
24,1382479354.65,422
25,1382479366.93,423
26,1382479370.94,422
26,1382479382.98,422
27,1382479387.0,422
27,1382479402.03,422
28,1382479414.08,428
29,1382479414.08,425
29,1382479430.14,423
30,1382479430.14,424
30,1382479442.19,427
31,1382479442.19,425
31,1382479461.25,425
32,1382479461.25,425
32,1382479473.27,427
33,1382479473.28,426
33,1382479489.34,426
34,1382479489.34,426
34,1382479501.86,426
34,1382479505.87,426
35,1382479520.87,430
36,1382479520.87,427
36,1382479520.87,426
36,1382479533.3,426
37,1382479533.3,426
37,1382479539.77,424
37,1382479549.5,425
37,1382479553.5,424
38,1382479562.92,424
39,1382479565.55,424
39,1382479566.02,424
39,1382479580.59,424
40,1382479580.59,424
40,1382479595.62,424
40,1382479595.62,424
41,1382479610.66,424
42,1382479610.66,424
42,1382479625.69,424
43,1382479640.75,424
43,1382479640.75,423
44,1382479653.06,423
44,1382479658.54,423
45,1382479672.81,423
46,1382479672.81,423
46,1382479673.71,423
46,1382479684.06,423
47,1382479684.06,423
47,1382479696.64,423
48,1382479700.66,423
48,1382479712.69,423
49,1382479712.7,423
49,1382479731.76,423
50,1382479731.76,423
50,1382479744.26,423
51,1382479744.26,423
51,1382479756.3,423
51,1382479760.3,423
52,1382479772.34,423
53,1382479776.37,423
53,1382479788.52,423
53,1382479792.52,423
54,1382479804.55,423
55,1382479804.58,423
55,1382479817.06,423
55,1382479821.07,423
56,1382479836.12,423
57,1382479836.12,423
57,1382479852.15,423
58,1382479852.18,423
58,1382479867.21,423
59,1382479876.22,423
60,1382479880.23,423
60,1382479896.27,423
61,1382479896.28,423
61,1382479908.61,423
62,1382479908.61,423
62,1382479927.68,423
63,1382479927.68,423
63,1382479928.76,423
63,1382479937.37,423
63,1382479939.72,423
63,1382479943.73,423
64,1382479952.72,423
65,1382479956.74,423
65,1382479968.93,423
66,1382479968.93,423
66,1382479988.0,423
67,1382479988.0,423
67,1382480003.04,423
68,1382480018.08,423
69,1382480027.02,423
70,1382480027.02,423
70,1382480043.06,423
71,1382480043.06,423
71,1382480059.13,423
72,1382480059.13,423
72,1382480071.76,423
72,1382480076.41,423
73,1382480088.81,423
74,1382480088.81,423
74,1382480107.85,423
75,1382480107.85,423
75,1382480122.9,423
76,1382480122.9,423
76,1382480124.82,423
76,1382480131.17,423
76,1382480135.17,423
77,1382480147.34,423
77,1382480151.36,423
78,1382480163.4,423
78,1382480167.41,423
79,1382480168.15,423
79,1382480180.18,423
79,1382480180.18,423
80,1382480195.24,423
80,1382480195.24,423
81,1382480207.57,423
82,1382480208.25,423
82,1382480213.08,423
82,1382480227.31,423
82,1382480227.31,423
82,1382480227.31,423
83,1382480242.36,423
84,1382480254.4,423
85,1382480254.4,423
85,1382480267.21,423
85,1382480271.21,423
86,1382480283.26,423
87,1382480283.73,423
87,1382480299.79,423
88,1382480299.79,423
88,1382480312.58,423
89,1382480316.59,423
89,1382480328.63,423
90,1382480328.72,423
90,1382480330.07,423
90,1382480335.01,423
90,1382480343.38,423
91,1382480344.76,423
91,1382480363.82,423
92,1382480363.82,423
92,1382480372.12,423
93,1382480372.12,423
93,1382480388.24,423
93,1382480388.24,423
93,1382480388.24,423
94,1382480392.26,423
94,1382480404.71,423
94,1382480404.71,423
95,1382480416.75,423
95,1382480420.76,423
96,1382480436.83,423
97,1382480441.26,423
97,1382480451.87,423
98,1382480451.87,423
98,1382480466.76,423
99,1382480466.76,423
99,1382480481.92,423
